complaint_id,customer_id,complaint_date,channel,complaint_category,complaint_subcategory,description,transaction_id,amount_affected,currency,priority,status,resolution_date,handling_team,satisfaction_score
C00175,CUST47629,21/12/2024,Branch,Delay,Transaction Delay,Transaction Delay reported via branch,,0,KES,High,Resolved,25/12/2024,Operations,2
C00176,CUST99486,19/12/2024,Branch,Customer Service Failure,Long Wait Time,Long Wait Time reported via branch,,0,KES,Critical,In Progress,,Customer Experience,
C00177,CUST49107,01/01/2025,Mobile App,System Error,Failed Reversal,Failed Reversal reported via mobile app,,0,KES,Critical,Resolved,02/01/2025,Finance Ops,2
C00178,CUST96533,01/01/2025,Branch,Customer Service Failure,No Follow-up,No Follow-up reported via branch,,0,KES,Medium,Resolved,02/01/2025,Finance Ops,2
C00179,CUST62725,15/12/2024,Mobile App,System Error,App Crash,App Crash reported via mobile app,,0,KES,High,Resolved,17/12/2024,IT Operations,2
C00180,CUST41051,01/01/2025,ATM,System Error,ATM Failure,ATM Failure reported via atm,TXN951381,48440,KES,Critical,Resolved,06/01/2025,Branch Operations,4
C00181,CUST92050,19/12/2024,Online Banking,System Error,Login Error,Login Error reported via online banking,,0,KES,Low,In Progress,,Operations,
C00182,CUST34101,01/01/2025,Online Banking,Customer Service Failure,Rude Staff,Rude Staff reported via online banking,TXN839116,27784,KES,High,Resolved,04/01/2025,Customer Experience,5
C00183,CUST83044,30/12/2024,Online Banking,System Error,App Crash,App Crash reported via online banking,TXN909185,37356,KES,Critical,In Progress,,Finance Ops,
C00184,CUST80206,27/12/2024,ATM,System Error,Failed Reversal,Failed Reversal reported via atm,,0,KES,High,In Progress,,Operations,
C00185,CUST72835,21/12/2024,Branch,Delay,Complaint Handling Delay,Complaint Handling Delay reported via branch,,0,KES,High,In Progress,,Branch Operations,
C00186,CUST61987,10/01/2025,ATM,System Error,ATM Failure,ATM Failure reported via atm,TXN863594,49935,KES,Critical,Resolved,15/01/2025,Finance Ops,3
C00187,CUST22924,01/01/2025,Branch,Erroneous Deduction,Phantom Debit,Phantom Debit reported via branch,TXN934431,17641,KES,High,Resolved,05/01/2025,Customer Experience,5
C00188,CUST82523,30/12/2024,Online Banking,Erroneous Deduction,Double Debit,Double Debit reported via online banking,,0,KES,High,Resolved,31/12/2024,Operations,4
C00189,CUST74044,02/01/2025,ATM,Customer Service Failure,Long Wait Time,Long Wait Time reported via atm,TXN944347,16604,KES,Medium,Resolved,05/01/2025,Finance Ops,4
C00190,CUST81058,04/01/2025,ATM,Customer Service Failure,Long Wait Time,Long Wait Time reported via atm,,0,KES,Medium,In Progress,,Operations,
C00191,CUST29795,16/12/2024,Mobile App,Delay,Transaction Delay,Transaction Delay reported via mobile app,,0,KES,High,In Progress,,IT Operations,
C00192,CUST10866,13/01/2025,Mobile App,System Error,Failed Reversal,Failed Reversal reported via mobile app,TXN804123,32167,KES,High,In Progress,,Branch Operations,
C00193,CUST78732,28/12/2024,Call Center,Delay,Transaction Delay,Transaction Delay reported via call center,TXN846993,33413,KES,High,Resolved,29/12/2024,Operations,2
C00194,CUST39603,08/01/2025,Online Banking,System Error,Failed Reversal,Failed Reversal reported via online banking,,0,KES,Low,In Progress,,Customer Experience,
C00195,CUST75517,17/12/2024,Branch,Delay,Transaction Delay,Transaction Delay reported via branch,,0,KES,Medium,Resolved,19/12/2024,Customer Experience,2
C00196,CUST99709,04/01/2025,Mobile App,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via mobile app,TXN871065,45869,KES,Critical,Resolved,05/01/2025,Branch Operations,2
C00197,CUST83919,01/01/2025,Online Banking,Delay,Transaction Delay,Transaction Delay reported via online banking,TXN820168,49799,KES,Critical,Resolved,04/01/2025,IT Operations,3
C00198,CUST67290,11/01/2025,ATM,System Error,Login Error,Login Error reported via atm,,0,KES,High,In Progress,,IT Operations,
C00199,CUST56636,06/01/2025,Online Banking,System Error,Login Error,Login Error reported via online banking,TXN859805,30027,KES,High,In Progress,,IT Operations,
C00200,CUST30214,27/12/2024,Call Center,Customer Service Failure,Rude Staff,Rude Staff reported via call center,,0,KES,Low,Resolved,28/12/2024,Customer Experience,4
C00201,CUST27367,04/01/2025,Online Banking,System Error,Login Error,Login Error reported via online banking,TXN894350,20702,KES,Medium,Resolved,07/01/2025,Operations,2
C00202,CUST64238,11/01/2025,Mobile App,System Error,Login Error,Login Error reported via mobile app,TXN900987,39620,KES,Low,Resolved,12/01/2025,IT Operations,4
C00203,CUST66973,17/12/2024,Branch,System Error,App Crash,App Crash reported via branch,,0,KES,Medium,Resolved,18/12/2024,Finance Ops,3
C00204,CUST70012,24/12/2024,Online Banking,Customer Service Failure,Rude Staff,Rude Staff reported via online banking,,0,KES,Critical,In Progress,,Operations,
C00205,CUST95332,09/01/2025,Online Banking,Delay,Complaint Handling Delay,Complaint Handling Delay reported via online banking,TXN912883,29350,KES,Medium,In Progress,,Branch Operations,
C00206,CUST52714,19/12/2024,Call Center,Erroneous Deduction,Phantom Debit,Phantom Debit reported via call center,TXN876401,26599,KES,High,Resolved,23/12/2024,Finance Ops,3
C00207,CUST67469,27/12/2024,Call Center,Erroneous Deduction,Double Debit,Double Debit reported via call center,,0,KES,High,Resolved,31/12/2024,Finance Ops,3
C00208,CUST19694,17/12/2024,Branch,Customer Service Failure,No Follow-up,No Follow-up reported via branch,,0,KES,High,Resolved,21/12/2024,Finance Ops,5
C00209,CUST14818,03/01/2025,Branch,Customer Service Failure,No Follow-up,No Follow-up reported via branch,TXN942513,45831,KES,High,In Progress,,Branch Operations,
C00210,CUST23886,26/12/2024,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,TXN997311,37411,KES,Medium,Resolved,29/12/2024,Operations,5
C00211,CUST55215,09/01/2025,Call Center,Delay,Card Delivery Delay,Card Delivery Delay reported via call center,TXN902533,29714,KES,High,Resolved,13/01/2025,Branch Operations,3
C00212,CUST54966,30/12/2024,Branch,Delay,Complaint Handling Delay,Complaint Handling Delay reported via branch,TXN881760,9784,KES,Medium,In Progress,,IT Operations,
C00213,CUST25084,21/12/2024,Branch,Customer Service Failure,Long Wait Time,Long Wait Time reported via branch,,0,KES,High,Resolved,24/12/2024,IT Operations,2
C00214,CUST92543,10/01/2025,ATM,Delay,Card Delivery Delay,Card Delivery Delay reported via atm,TXN921124,22191,KES,High,Resolved,12/01/2025,Finance Ops,5
C00215,CUST46483,15/01/2025,Mobile App,System Error,Login Error,Login Error reported via mobile app,TXN801166,28651,KES,Critical,Resolved,17/01/2025,Branch Operations,3
C00216,CUST90125,17/12/2024,ATM,Delay,Card Delivery Delay,Card Delivery Delay reported via atm,TXN938337,17693,KES,Medium,Resolved,20/12/2024,Operations,5
C00217,CUST25448,18/12/2024,Branch,Erroneous Deduction,Phantom Debit,Phantom Debit reported via branch,,0,KES,Medium,Resolved,20/12/2024,Branch Operations,4
C00218,CUST93296,06/01/2025,ATM,Delay,Complaint Handling Delay,Complaint Handling Delay reported via atm,TXN910897,38170,KES,Medium,Resolved,08/01/2025,Branch Operations,5
C00219,CUST73518,04/01/2025,Branch,System Error,App Crash,App Crash reported via branch,,0,KES,Medium,Resolved,07/01/2025,Operations,2
C00220,CUST38905,11/01/2025,Branch,System Error,Login Error,Login Error reported via branch,,0,KES,High,Resolved,16/01/2025,Customer Experience,2
C00221,CUST85066,23/12/2024,ATM,System Error,Failed Reversal,Failed Reversal reported via atm,,0,KES,High,In Progress,,Customer Experience,
C00222,CUST68947,13/01/2025,Branch,System Error,ATM Failure,ATM Failure reported via branch,,0,KES,Medium,Resolved,16/01/2025,Branch Operations,2
C00223,CUST37082,17/12/2024,ATM,Customer Service Failure,Rude Staff,Rude Staff reported via atm,TXN843511,23478,KES,Critical,Resolved,22/12/2024,Finance Ops,3
C00224,CUST77425,16/12/2024,Online Banking,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via online banking,TXN875846,46640,KES,High,Resolved,21/12/2024,Branch Operations,4
C00225,CUST42447,18/12/2024,Mobile App,System Error,Login Error,Login Error reported via mobile app,,0,KES,Critical,Resolved,20/12/2024,Operations,4
C00226,CUST58374,27/12/2024,Call Center,Customer Service Failure,Rude Staff,Rude Staff reported via call center,,0,KES,High,Resolved,31/12/2024,Operations,4
C00227,CUST38551,30/12/2024,Mobile App,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via mobile app,TXN816601,44025,KES,High,Resolved,04/01/2025,IT Operations,5
C00228,CUST23051,21/12/2024,Online Banking,Customer Service Failure,Long Wait Time,Long Wait Time reported via online banking,TXN890109,37602,KES,Medium,Resolved,22/12/2024,Operations,2
C00229,CUST27290,29/12/2024,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,,0,KES,High,In Progress,,Customer Experience,
C00230,CUST91999,24/12/2024,Mobile App,System Error,Failed Reversal,Failed Reversal reported via mobile app,,0,KES,Medium,Resolved,25/12/2024,Operations,5
C00231,CUST11217,22/12/2024,Mobile App,Customer Service Failure,No Follow-up,No Follow-up reported via mobile app,,0,KES,Low,Resolved,27/12/2024,IT Operations,5
C00232,CUST58177,10/01/2025,ATM,Delay,Complaint Handling Delay,Complaint Handling Delay reported via atm,,0,KES,Low,Resolved,11/01/2025,Customer Experience,4
C00233,CUST37925,19/12/2024,ATM,Customer Service Failure,Rude Staff,Rude Staff reported via atm,,0,KES,High,Resolved,23/12/2024,IT Operations,4
C00234,CUST56076,19/12/2024,Branch,Customer Service Failure,No Follow-up,No Follow-up reported via branch,,0,KES,Low,Resolved,24/12/2024,Finance Ops,5
C00235,CUST36928,25/12/2024,Online Banking,System Error,App Crash,App Crash reported via online banking,TXN981004,47763,KES,Medium,Resolved,26/12/2024,IT Operations,4
C00236,CUST24777,31/12/2024,Online Banking,System Error,Login Error,Login Error reported via online banking,TXN901157,16185,KES,High,In Progress,,IT Operations,
C00237,CUST71736,15/01/2025,Mobile App,Delay,Card Delivery Delay,Card Delivery Delay reported via mobile app,TXN895790,37749,KES,Critical,Resolved,20/01/2025,Operations,3
C00238,CUST65518,17/12/2024,Mobile App,Delay,Card Delivery Delay,Card Delivery Delay reported via mobile app,TXN932804,4462,KES,Medium,Resolved,20/12/2024,IT Operations,5
C00239,CUST86865,17/12/2024,Mobile App,System Error,Failed Reversal,Failed Reversal reported via mobile app,TXN902427,10682,KES,Low,In Progress,,Operations,
C00240,CUST50539,04/01/2025,Branch,Delay,Complaint Handling Delay,Complaint Handling Delay reported via branch,,0,KES,Low,Resolved,08/01/2025,Finance Ops,2
C00241,CUST58741,20/12/2024,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,TXN843768,34775,KES,Medium,In Progress,,IT Operations,
C00242,CUST76949,09/01/2025,Online Banking,Delay,Transaction Delay,Transaction Delay reported via online banking,,0,KES,Medium,Resolved,13/01/2025,Customer Experience,5
C00243,CUST39937,30/12/2024,ATM,System Error,Failed Reversal,Failed Reversal reported via atm,,0,KES,High,In Progress,,Operations,
C00244,CUST39427,15/12/2024,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,,0,KES,High,Resolved,16/12/2024,IT Operations,5
C00245,CUST62550,28/12/2024,Mobile App,Erroneous Deduction,Phantom Debit,Phantom Debit reported via mobile app,,0,KES,Medium,Resolved,30/12/2024,Branch Operations,2
C00246,CUST70807,12/01/2025,Online Banking,System Error,Failed Reversal,Failed Reversal reported via online banking,TXN947798,13651,KES,High,Resolved,15/01/2025,IT Operations,3
C00247,CUST10191,30/12/2024,ATM,System Error,App Crash,App Crash reported via atm,TXN966708,35990,KES,Critical,Resolved,31/12/2024,IT Operations,4
C00248,CUST15754,27/12/2024,ATM,Erroneous Deduction,Double Debit,Double Debit reported via atm,,0,KES,Critical,Resolved,30/12/2024,Branch Operations,2
C00249,CUST87580,31/12/2024,Online Banking,Customer Service Failure,No Follow-up,No Follow-up reported via online banking,,0,KES,Critical,Resolved,04/01/2025,Customer Experience,2
C00250,CUST69343,28/12/2024,Online Banking,System Error,App Crash,App Crash reported via online banking,TXN883376,26252,KES,Critical,In Progress,,Operations,
C00251,CUST37215,17/12/2024,Call Center,System Error,App Crash,App Crash reported via call center,TXN906564,31043,KES,Medium,Resolved,18/12/2024,IT Operations,4
C00252,CUST29441,29/12/2024,Mobile App,Erroneous Deduction,Double Debit,Double Debit reported via mobile app,,0,KES,Critical,Resolved,31/12/2024,Finance Ops,4
C00253,CUST82869,08/01/2025,Call Center,System Error,Login Error,Login Error reported via call center,,0,KES,High,Resolved,12/01/2025,IT Operations,5
C00254,CUST58790,22/12/2024,Mobile App,Delay,Complaint Handling Delay,Complaint Handling Delay reported via mobile app,,0,KES,Medium,Resolved,24/12/2024,Finance Ops,5
C00255,CUST22055,04/01/2025,Call Center,Delay,Card Delivery Delay,Card Delivery Delay reported via call center,,0,KES,Critical,Resolved,08/01/2025,Operations,3
C00256,CUST99550,25/12/2024,Branch,Delay,Transaction Delay,Transaction Delay reported via branch,TXN930056,47976,KES,Medium,Resolved,26/12/2024,IT Operations,5
C00257,CUST64000,26/12/2024,Online Banking,System Error,App Crash,App Crash reported via online banking,,0,KES,High,Resolved,29/12/2024,Operations,5
C00258,CUST60134,30/12/2024,Online Banking,Delay,Transaction Delay,Transaction Delay reported via online banking,,0,KES,Medium,Resolved,04/01/2025,Customer Experience,2
C00259,CUST88265,26/12/2024,Branch,Customer Service Failure,No Follow-up,No Follow-up reported via branch,TXN847137,25952,KES,Critical,Resolved,27/12/2024,Operations,4
C00260,CUST42487,09/01/2025,Call Center,Delay,Complaint Handling Delay,Complaint Handling Delay reported via call center,,0,KES,High,In Progress,,Operations,
C00261,CUST41005,23/12/2024,Call Center,Delay,Transaction Delay,Transaction Delay reported via call center,,0,KES,Medium,In Progress,,Customer Experience,
C00262,CUST74282,26/12/2024,Online Banking,Delay,Card Delivery Delay,Card Delivery Delay reported via online banking,TXN942114,12836,KES,High,Resolved,29/12/2024,Branch Operations,3
C00263,CUST33260,05/01/2025,ATM,Delay,Card Delivery Delay,Card Delivery Delay reported via atm,,0,KES,High,Resolved,07/01/2025,IT Operations,4
C00264,CUST86810,25/12/2024,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,TXN819013,7769,KES,High,Resolved,28/12/2024,Branch Operations,5
C00265,CUST83659,09/01/2025,ATM,System Error,App Crash,App Crash reported via atm,TXN845666,43044,KES,High,In Progress,,Customer Experience,
C00266,CUST33292,03/01/2025,Call Center,Erroneous Deduction,Double Debit,Double Debit reported via call center,,0,KES,Medium,In Progress,,Finance Ops,
C00267,CUST93839,02/01/2025,Mobile App,Customer Service Failure,No Follow-up,No Follow-up reported via mobile app,,0,KES,High,In Progress,,Finance Ops,
C00268,CUST11493,30/12/2024,Mobile App,System Error,Failed Reversal,Failed Reversal reported via mobile app,,0,KES,Medium,Resolved,02/01/2025,Finance Ops,5
C00269,CUST59638,22/12/2024,Online Banking,Delay,Complaint Handling Delay,Complaint Handling Delay reported via online banking,TXN843604,29219,KES,High,Resolved,26/12/2024,IT Operations,5
C00270,CUST23726,27/12/2024,Call Center,Delay,Complaint Handling Delay,Complaint Handling Delay reported via call center,TXN805263,2689,KES,Medium,Resolved,30/12/2024,Finance Ops,4
C00271,CUST14062,07/01/2025,Mobile App,System Error,App Crash,App Crash reported via mobile app,TXN984681,22647,KES,Critical,In Progress,,Branch Operations,
C00272,CUST96585,04/01/2025,ATM,System Error,Login Error,Login Error reported via atm,TXN982765,12950,KES,Medium,Resolved,09/01/2025,IT Operations,4
C00273,CUST48607,22/12/2024,Branch,Delay,Transaction Delay,Transaction Delay reported via branch,TXN801000,4072,KES,High,Resolved,26/12/2024,Branch Operations,2
C00274,CUST71727,04/01/2025,Mobile App,Customer Service Failure,Rude Staff,Rude Staff reported via mobile app,TXN830279,5869,KES,Medium,Resolved,07/01/2025,IT Operations,5
C00275,CUST68428,23/12/2024,Call Center,Delay,Card Delivery Delay,Card Delivery Delay reported via call center,,0,KES,Medium,In Progress,,Customer Experience,
C00276,CUST80968,12/01/2025,ATM,System Error,Failed Reversal,Failed Reversal reported via atm,,0,KES,High,Resolved,13/01/2025,Operations,4
C00277,CUST20348,02/01/2025,Branch,System Error,ATM Failure,ATM Failure reported via branch,,0,KES,High,Resolved,06/01/2025,Branch Operations,4
C00278,CUST65492,16/12/2024,Branch,System Error,ATM Failure,ATM Failure reported via branch,,0,KES,Critical,Resolved,18/12/2024,Finance Ops,2
C00279,CUST60868,15/01/2025,ATM,System Error,App Crash,App Crash reported via atm,,0,KES,Medium,In Progress,,Branch Operations,
C00280,CUST29424,01/01/2025,Call Center,Erroneous Deduction,Phantom Debit,Phantom Debit reported via call center,TXN829496,46402,KES,Critical,Resolved,05/01/2025,Customer Experience,3
C00281,CUST60206,02/01/2025,Call Center,Delay,Transaction Delay,Transaction Delay reported via call center,TXN869241,23035,KES,High,In Progress,,IT Operations,
C00282,CUST41139,02/01/2025,ATM,Customer Service Failure,Rude Staff,Rude Staff reported via atm,TXN810166,45117,KES,High,Resolved,06/01/2025,Operations,4
C00283,CUST27614,12/01/2025,Mobile App,System Error,Failed Reversal,Failed Reversal reported via mobile app,TXN982500,18872,KES,Critical,Resolved,13/01/2025,Operations,3
C00284,CUST17367,29/12/2024,Branch,Erroneous Deduction,Phantom Debit,Phantom Debit reported via branch,TXN994234,14353,KES,High,Resolved,02/01/2025,Branch Operations,4
C00285,CUST32772,20/12/2024,Call Center,Delay,Complaint Handling Delay,Complaint Handling Delay reported via call center,,0,KES,Medium,In Progress,,Customer Experience,
C00286,CUST93284,08/01/2025,Mobile App,Delay,Transaction Delay,Transaction Delay reported via mobile app,TXN896561,13548,KES,Low,Resolved,12/01/2025,Customer Experience,5
C00287,CUST31432,15/12/2024,Branch,System Error,Failed Reversal,Failed Reversal reported via branch,TXN890242,31602,KES,High,In Progress,,Branch Operations,
C00288,CUST94853,23/12/2024,Mobile App,Delay,Complaint Handling Delay,Complaint Handling Delay reported via mobile app,,0,KES,Low,In Progress,,Customer Experience,
C00289,CUST72140,08/01/2025,Call Center,System Error,Login Error,Login Error reported via call center,,0,KES,Critical,In Progress,,IT Operations,
C00290,CUST59345,04/01/2025,ATM,System Error,ATM Failure,ATM Failure reported via atm,TXN911098,47210,KES,High,In Progress,,Operations,
C00291,CUST10963,29/12/2024,Branch,Erroneous Deduction,Double Debit,Double Debit reported via branch,,0,KES,High,In Progress,,Operations,
C00292,CUST44229,26/12/2024,Mobile App,Erroneous Deduction,Phantom Debit,Phantom Debit reported via mobile app,TXN872583,42482,KES,Low,In Progress,,Customer Experience,
C00293,CUST51888,04/01/2025,ATM,Erroneous Deduction,Double Debit,Double Debit reported via atm,TXN973154,39823,KES,High,In Progress,,Branch Operations,
C00294,CUST54979,15/12/2024,Online Banking,Customer Service Failure,Long Wait Time,Long Wait Time reported via online banking,,0,KES,High,In Progress,,Customer Experience,
C00295,CUST71706,22/12/2024,Online Banking,Customer Service Failure,No Follow-up,No Follow-up reported via online banking,,0,KES,Medium,Resolved,25/12/2024,Branch Operations,2
C00296,CUST86751,09/01/2025,Online Banking,Delay,Card Delivery Delay,Card Delivery Delay reported via online banking,TXN886852,20625,KES,Medium,Resolved,12/01/2025,IT Operations,4
C00297,CUST64146,18/12/2024,Call Center,Customer Service Failure,Rude Staff,Rude Staff reported via call center,,0,KES,Critical,Resolved,22/12/2024,Branch Operations,4
C00298,CUST51469,07/01/2025,Online Banking,Delay,Transaction Delay,Transaction Delay reported via online banking,,0,KES,Critical,In Progress,,Customer Experience,
C00299,CUST74169,20/12/2024,Online Banking,Delay,Complaint Handling Delay,Complaint Handling Delay reported via online banking,TXN854888,30125,KES,Medium,Resolved,22/12/2024,Finance Ops,3
C00300,CUST58903,17/12/2024,Branch,System Error,Login Error,Login Error reported via branch,,0,KES,High,Resolved,22/12/2024,Customer Experience,3
C00301,CUST23462,25/12/2024,Mobile App,System Error,ATM Failure,ATM Failure reported via mobile app,,0,KES,Medium,In Progress,,Finance Ops,
C00302,CUST74248,02/01/2025,Mobile App,Erroneous Deduction,Double Debit,Double Debit reported via mobile app,TXN913682,48199,KES,Medium,Resolved,04/01/2025,IT Operations,4
C00303,CUST87292,21/12/2024,Mobile App,System Error,Login Error,Login Error reported via mobile app,,0,KES,Medium,In Progress,,Finance Ops,
C00304,CUST96765,18/12/2024,Mobile App,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via mobile app,,0,KES,Critical,Resolved,23/12/2024,Customer Experience,2
C00305,CUST99881,05/01/2025,Mobile App,Delay,Card Delivery Delay,Card Delivery Delay reported via mobile app,TXN983990,17063,KES,High,Resolved,07/01/2025,Customer Experience,3
C00306,CUST47054,24/12/2024,Mobile App,Customer Service Failure,No Follow-up,No Follow-up reported via mobile app,TXN827502,9489,KES,Medium,Resolved,29/12/2024,Branch Operations,2
C00307,CUST63707,06/01/2025,Call Center,System Error,App Crash,App Crash reported via call center,TXN984401,13716,KES,High,In Progress,,Finance Ops,
C00308,CUST29548,16/12/2024,Branch,Customer Service Failure,Rude Staff,Rude Staff reported via branch,,0,KES,Medium,Resolved,21/12/2024,Operations,5
C00309,CUST32898,31/12/2024,Mobile App,Delay,Card Delivery Delay,Card Delivery Delay reported via mobile app,TXN921707,19900,KES,High,Resolved,01/01/2025,Operations,2
C00310,CUST53078,24/12/2024,Online Banking,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via online banking,,0,KES,High,Resolved,26/12/2024,Customer Experience,3
C00311,CUST72684,29/12/2024,Mobile App,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via mobile app,TXN919678,26765,KES,Critical,Resolved,01/01/2025,Operations,5
C00312,CUST73265,04/01/2025,ATM,System Error,ATM Failure,ATM Failure reported via atm,TXN954861,7296,KES,Critical,In Progress,,IT Operations,
C00313,CUST24802,29/12/2024,Online Banking,System Error,Login Error,Login Error reported via online banking,,0,KES,Low,Resolved,02/01/2025,Branch Operations,5
C00314,CUST97797,29/12/2024,Online Banking,Delay,Transaction Delay,Transaction Delay reported via online banking,,0,KES,Low,In Progress,,Operations,
C00315,CUST11526,31/12/2024,ATM,Delay,Complaint Handling Delay,Complaint Handling Delay reported via atm,,0,KES,Medium,Resolved,05/01/2025,Customer Experience,2
C00316,CUST82154,20/12/2024,ATM,Customer Service Failure,Long Wait Time,Long Wait Time reported via atm,TXN813199,22185,KES,High,Resolved,25/12/2024,IT Operations,3
C00317,CUST95638,27/12/2024,Branch,System Error,ATM Failure,ATM Failure reported via branch,TXN882853,33166,KES,Critical,Resolved,28/12/2024,Customer Experience,5
C00318,CUST95799,11/01/2025,Call Center,System Error,ATM Failure,ATM Failure reported via call center,TXN933257,40097,KES,Low,Resolved,16/01/2025,Branch Operations,3
C00319,CUST96136,25/12/2024,ATM,Erroneous Deduction,Double Debit,Double Debit reported via atm,TXN987867,39818,KES,Medium,In Progress,,Customer Experience,
C00320,CUST23935,29/12/2024,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,TXN984050,19635,KES,Medium,In Progress,,IT Operations,
C00321,CUST54293,07/01/2025,Branch,System Error,App Crash,App Crash reported via branch,TXN856515,8413,KES,Medium,Resolved,11/01/2025,IT Operations,3
C00322,CUST79515,11/01/2025,Call Center,Delay,Card Delivery Delay,Card Delivery Delay reported via call center,,0,KES,High,Resolved,15/01/2025,IT Operations,2
C00323,CUST26827,01/01/2025,Branch,Customer Service Failure,No Follow-up,No Follow-up reported via branch,,0,KES,High,In Progress,,Branch Operations,
C00324,CUST48557,15/01/2025,Branch,System Error,Login Error,Login Error reported via branch,TXN889878,18430,KES,Critical,In Progress,,Branch Operations,
C00325,CUST36330,19/12/2024,Call Center,System Error,Login Error,Login Error reported via call center,,0,KES,Medium,In Progress,,Branch Operations,
C00326,CUST86389,09/01/2025,ATM,System Error,App Crash,App Crash reported via atm,,0,KES,High,Resolved,12/01/2025,Branch Operations,5
C00327,CUST31094,28/12/2024,Mobile App,Erroneous Deduction,Phantom Debit,Phantom Debit reported via mobile app,,0,KES,Medium,Resolved,30/12/2024,Branch Operations,4
C00328,CUST94819,23/12/2024,Online Banking,System Error,ATM Failure,ATM Failure reported via online banking,,0,KES,High,Resolved,28/12/2024,Finance Ops,3
C00329,CUST17051,22/12/2024,Mobile App,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via mobile app,TXN944736,45401,KES,Medium,In Progress,,Customer Experience,
C00330,CUST87120,09/01/2025,Branch,Delay,Card Delivery Delay,Card Delivery Delay reported via branch,TXN997946,42943,KES,Critical,In Progress,,Finance Ops,
C00331,CUST59440,03/01/2025,Online Banking,System Error,App Crash,App Crash reported via online banking,,0,KES,Medium,Resolved,08/01/2025,Customer Experience,2
C00332,CUST52287,09/01/2025,ATM,System Error,App Crash,App Crash reported via atm,,0,KES,Critical,Resolved,10/01/2025,Branch Operations,3
C00333,CUST34100,04/01/2025,Call Center,Erroneous Deduction,Phantom Debit,Phantom Debit reported via call center,,0,KES,Medium,In Progress,,Branch Operations,
C00334,CUST38632,31/12/2024,Call Center,System Error,Login Error,Login Error reported via call center,TXN886787,14482,KES,High,Resolved,03/01/2025,Branch Operations,4
C00335,CUST59987,03/01/2025,Mobile App,Customer Service Failure,No Follow-up,No Follow-up reported via mobile app,,0,KES,High,Resolved,04/01/2025,IT Operations,4
C00336,CUST95397,18/12/2024,Call Center,Customer Service Failure,Long Wait Time,Long Wait Time reported via call center,TXN927612,25073,KES,Low,Resolved,19/12/2024,Operations,4
C00337,CUST36945,13/01/2025,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,,0,KES,High,Resolved,17/01/2025,Branch Operations,2
C00338,CUST43018,28/12/2024,ATM,Delay,Card Delivery Delay,Card Delivery Delay reported via atm,,0,KES,High,Resolved,29/12/2024,IT Operations,3
C00339,CUST80101,02/01/2025,Branch,System Error,Failed Reversal,Failed Reversal reported via branch,,0,KES,High,Resolved,06/01/2025,Customer Experience,2
C00340,CUST89503,14/01/2025,Call Center,Delay,Card Delivery Delay,Card Delivery Delay reported via call center,,0,KES,High,Resolved,17/01/2025,IT Operations,4
C00341,CUST49066,12/01/2025,Mobile App,System Error,Login Error,Login Error reported via mobile app,TXN943058,49439,KES,Medium,Resolved,15/01/2025,Customer Experience,3
C00342,CUST49936,04/01/2025,Call Center,Erroneous Deduction,Double Debit,Double Debit reported via call center,TXN940811,38033,KES,Medium,Resolved,09/01/2025,Branch Operations,2
C00343,CUST97946,10/01/2025,Call Center,Delay,Complaint Handling Delay,Complaint Handling Delay reported via call center,,0,KES,Medium,Resolved,11/01/2025,Finance Ops,3
C00344,CUST53365,16/12/2024,Call Center,Customer Service Failure,No Follow-up,No Follow-up reported via call center,,0,KES,Medium,Resolved,21/12/2024,IT Operations,5
C00345,CUST86568,04/01/2025,Online Banking,System Error,ATM Failure,ATM Failure reported via online banking,TXN886073,32341,KES,Low,Resolved,09/01/2025,Branch Operations,4
C00346,CUST99073,14/01/2025,Branch,System Error,Failed Reversal,Failed Reversal reported via branch,TXN872529,15017,KES,Low,Resolved,17/01/2025,Finance Ops,3
C00347,CUST80597,30/12/2024,Online Banking,Customer Service Failure,Long Wait Time,Long Wait Time reported via online banking,,0,KES,High,Resolved,02/01/2025,Operations,3
C00348,CUST82298,15/01/2025,Mobile App,Delay,Card Delivery Delay,Card Delivery Delay reported via mobile app,TXN954674,38634,KES,Critical,Resolved,17/01/2025,IT Operations,2
C00349,CUST70909,01/01/2025,ATM,Customer Service Failure,No Follow-up,No Follow-up reported via atm,TXN835096,39140,KES,Medium,In Progress,,Operations,
C00350,CUST77388,17/12/2024,Call Center,Customer Service Failure,Long Wait Time,Long Wait Time reported via call center,,0,KES,High,In Progress,,IT Operations,
C00351,CUST40375,07/01/2025,Call Center,Delay,Card Delivery Delay,Card Delivery Delay reported via call center,,0,KES,High,Resolved,09/01/2025,Finance Ops,5
